CategoryID,Category Path
37920,"Antiques > Asian/Oriental Antiques > Chinese > Baskets"
37921,"Antiques > Asian/Oriental Antiques > Chinese > Bowls"
37922,"Antiques > Asian/Oriental Antiques > Chinese > Boxes"
37923,"Antiques > Asian/Oriental Antiques > Chinese > Cabinets"
37924,"Antiques > Asian/Oriental Antiques > Chinese > Chairs"
37925,"Antiques > Asian/Oriental Antiques > Chinese > Chests"
184440,"Antiques > Asian/Oriental Antiques > Chinese > Figurines & Statues"
37926,"Antiques > Asian/Oriental Antiques > Chinese > Glasses/Cups"
37927,"Antiques > Asian/Oriental Antiques > Chinese > Necklaces/Pendants"
96754,"Antiques > Asian/Oriental Antiques > Chinese > Ornaments"
38124,"Antiques > Asian/Oriental Antiques > Chinese > Paintings/Scrolls"
37928,"Antiques > Asian/Oriental Antiques > Chinese > Plates"
37929,"Antiques > Asian/Oriental Antiques > Chinese > Pots"
37930,"Antiques > Asian/Oriental Antiques > Chinese > Snuff Bottles"
37932,"Antiques > Asian/Oriental Antiques > Chinese > Tables"
100902,"Antiques > Asian/Oriental Antiques > Chinese > Textiles"
37933,"Antiques > Asian/Oriental Antiques > Chinese > Vases"
66836,"Antiques > Asian/Oriental Antiques > Chinese > Cloisonne"
66837,"Antiques > Asian/Oriental Antiques > Chinese > Ivory"
27312,"Antiques > Asian/Oriental Antiques > Chinese > Jade/Hardstone"
27316,"Antiques > Asian/Oriental Antiques > Chinese > Porcelain"
66838,"Antiques > Asian/Oriental Antiques > Chinese > Woodenware"
73465,"Antiques > Asian/Oriental Antiques > Chinese > Other Chinese"
60209,"Antiques > Asian/Oriental Antiques > Indian"
116556,"Antiques > Asian/Oriental Antiques > Islamic/Middle Eastern"
37935,"Antiques > Asian/Oriental Antiques > Japanese > Bowls"
37936,"Antiques > Asian/Oriental Antiques > Japanese > Boxes"
112088,"Antiques > Asian/Oriental Antiques > Japanese > Buddhas"
37937,"Antiques > Asian/Oriental Antiques > Japanese > Glasses & Cups"
37938,"Antiques > Asian/Oriental Antiques > Japanese > Netsuke"
38125,"Antiques > Asian/Oriental Antiques > Japanese > Paintings & Scrolls"
37939,"Antiques > Asian/Oriental Antiques > Japanese > Plates"
27317,"Antiques > Asian/Oriental Antiques > Japanese > Porcelain"
38126,"Antiques > Asian/Oriental Antiques > Japanese > Prints"
100903,"Antiques > Asian/Oriental Antiques > Japanese > Textiles"
37940,"Antiques > Asian/Oriental Antiques > Japanese > Vases"
91104,"Antiques > Asian/Oriental Antiques > Japanese > Cloisonne"
73466,"Antiques > Asian/Oriental Antiques > Japanese > Other Japanese"
20085,"Antiques > Asian/Oriental Antiques > South-East Asian"
79947,"Antiques > Asian/Oriental Antiques > Tibetan"
2194,"Antiques > Asian/Oriental Antiques > Other Asian/Oriental Antiques"
37978,"Antiques > Carpets & Rugs"
1208,"Antiques > Decorative Arts"
4171,"Antiques > Ethnographic Antiques > African"
4170,"Antiques > Ethnographic Antiques > Latin American"
4173,"Antiques > Ethnographic Antiques > Native American"
4172,"Antiques > Ethnographic Antiques > Oceanian/Australasian"
2204,"Antiques > Ethnographic Antiques > Other Ethnographic Antiques"
20117,"Antiques > Fabric/Textiles > Embroidery"
73469,"Antiques > Fabric/Textiles > Fabric"
2219,"Antiques > Fabric/Textiles > Lace/ Crochet/ Doilies"
2220,"Antiques > Fabric/Textiles > Linens"
63624,"Antiques > Fabric/Textiles > Pillows"
2221,"Antiques > Fabric/Textiles > Quilts"
2223,"Antiques > Fabric/Textiles > Samplers"
2224,"Antiques > Fabric/Textiles > Tapestries"
362,"Antiques > Fabric/Textiles > Other Fabric/Textiles"
22422,"Antiques > Incunabula"
23048,"Antiques > Manuscripts"
98448,"Antiques > Maps, Atlases & Globes > Africa Maps"
98450,"Antiques > Maps, Atlases & Globes > Asia Maps"
98462,"Antiques > Maps, Atlases & Globes > Australia/Oceania Maps"
98452,"Antiques > Maps, Atlases & Globes > Central America/Caribbean Maps"
98454,"Antiques > Maps, Atlases & Globes > Europe Maps"
179654,"Antiques > Maps, Atlases & Globes > North America Maps"
98464,"Antiques > Maps, Atlases & Globes > South America Maps"
98466,"Antiques > Maps, Atlases & Globes > World Maps"
184438,"Antiques > Maps, Atlases & Globes > Celestial Maps"
184439,"Antiques > Maps, Atlases & Globes > Curiosities Maps"
63595,"Antiques > Maps, Atlases & Globes > Digital Maps"
98468,"Antiques > Maps, Atlases & Globes > World & Celestial Globes"
37964,"Antiques > Maps, Atlases & Globes > Map & Globe Mixed Lots"
151725,"Antiques > Maps, Atlases & Globes > Map & Globe Reproductions"
66638,"Antiques > Marine/Maritime"
4175,"Antiques > Metalware > Brass"
1212,"Antiques > Metalware > Bronze"
20087,"Antiques > Metalware > Cast Iron"
1213,"Antiques > Metalware > Copper"
4176,"Antiques > Metalware > Gold"
1214,"Antiques > Metalware > Pewter"
112090,"Antiques > Metalware > Spelter"
63548,"Antiques > Metalware > Tin"
20088,"Antiques > Metalware > Wrought Iron"
358,"Antiques > Metalware > Other Metalware"
156320,"Antiques > Musical Instruments > Brass"
37975,"Antiques > Musical Instruments > Keyboard"
37976,"Antiques > Musical Instruments > Percussion"
181727,"Antiques > Musical Instruments > String"
37977,"Antiques > Musical Instruments > Wind"
156322,"Antiques > Musical Instruments > Other Antique Instruments"
1210,"Antiques > Science/Medicine > Medical Instruments"
361,"Antiques > Science/Medicine > Scientific Instruments"
20095,"Antiques > Science/Medicine > Other Science/Medicine"
105886,"Antiques > Silver > Silver Plate > Ash Trays"
105887,"Antiques > Silver > Silver Plate > Bottles"
37985,"Antiques > Silver > Silver Plate > Bowls"
105888,"Antiques > Silver > Silver Plate > Boxes"
20098,"Antiques > Silver > Silver Plate > Candlesticks/Candelabra"
37986,"Antiques > Silver > Silver Plate > Cups/Goblets"
2216,"Antiques > Silver > Silver Plate > Cutlery"
105889,"Antiques > Silver > Silver Plate > Dishes/Coasters"
105892,"Antiques > Silver > Silver Plate > Ladles"
105893,"Antiques > Silver > Silver Plate > Miniatures"
112091,"Antiques > Silver > Silver Plate > Mustard Pots"
105894,"Antiques > Silver > Silver Plate > Napkin Rings/Clips"
39437,"Antiques > Silver > Silver Plate > Pitchers/Jugs"
39438,"Antiques > Silver > Silver Plate > Plates/Platters/Trays"
105895,"Antiques > Silver > Silver Plate > Salt & Pepper Cellars/Shakers"
105896,"Antiques > Silver > Silver Plate > Sauce Boats"
105898,"Antiques > Silver > Silver Plate > Sugar Bowls/Tongs"
37988,"Antiques > Silver > Silver Plate > Teapots & Sets"
39439,"Antiques > Silver > Silver Plate > Vases/Urns"
1216,"Antiques > Silver > Silver Plate > Other Silver Plate"
105908,"Antiques > Silver > Solid Silver > Ash Trays"
105909,"Antiques > Silver > Solid Silver > Bottles"
37991,"Antiques > Silver > Solid Silver > Bowls"
37992,"Antiques > Silver > Solid Silver > Boxes"
105910,"Antiques > Silver > Solid Silver > Brooches/Jewellery"
105911,"Antiques > Silver > Solid Silver > Brushes/Grooming Sets"
105912,"Antiques > Silver > Solid Silver > Buckles"
20103,"Antiques > Silver > Solid Silver > Candlesticks/Candelabra"
105899,"Antiques > Silver > Solid Silver > Card Cases"
105900,"Antiques > Silver > Solid Silver > Cigarette/Vesta Cases"
37993,"Antiques > Silver > Solid Silver > Cups/Goblets"
60198,"Antiques > Silver > Solid Silver > Cutlery"
63620,"Antiques > Silver > Solid Silver > Dishes/Coasters"
105902,"Antiques > Silver > Solid Silver > Frames"
105904,"Antiques > Silver > Solid Silver > Ladles"
63623,"Antiques > Silver > Solid Silver > Miniatures"
105906,"Antiques > Silver > Solid Silver > Mirrors"
113310,"Antiques > Silver > Solid Silver > Mustard Pots"
39440,"Antiques > Silver > Solid Silver > Napkin Rings/Clips"
37995,"Antiques > Silver > Solid Silver > Pitchers/Jugs"
39441,"Antiques > Silver > Solid Silver > Plates/Platters/Trays"
105913,"Antiques > Silver > Solid Silver > Pocket Watches/Chains/Fobs"
39442,"Antiques > Silver > Solid Silver > Salt & Pepper Cellars/Shakers"
105914,"Antiques > Silver > Solid Silver > Sauce Boats"
105915,"Antiques > Silver > Solid Silver > Shoe Horns"
105907,"Antiques > Silver > Solid Silver > Statues"
63622,"Antiques > Silver > Solid Silver > Sugar Bowls/Tongs"
37998,"Antiques > Silver > Solid Silver > Teapots & Sets"
107440,"Antiques > Silver > Solid Silver > Thimbles"
39443,"Antiques > Silver > Solid Silver > Vases/Urns"
107441,"Antiques > Silver > Solid Silver > Vinaigrettes"
1215,"Antiques > Silver > Solid Silver > Other Solid Silver"
37942,"Antiques > Woodenware > Bowls"
37943,"Antiques > Woodenware > Boxes"
108817,"Antiques > Woodenware > Candlesticks"
60330,"Antiques > Woodenware > Carved Figures/Models"
79948,"Antiques > Woodenware > Ornaments"
66850,"Antiques > Woodenware > Pots/Jars"
108816,"Antiques > Woodenware > Stands"
112159,"Antiques > Woodenware > Tea Caddies"
37944,"Antiques > Woodenware > Trays"
79949,"Antiques > Woodenware > Treen"
66851,"Antiques > Woodenware > Walking Sticks/Canes"
112160,"Antiques > Woodenware > Writing Slopes"
1219,"Antiques > Woodenware > Other Woodenware"
100928,"Antiques > Periods/Styles > Aesthetic Movement"
69471,"Antiques > Periods/Styles > Art Deco"
69472,"Antiques > Periods/Styles > Art Nouveau"
96768,"Antiques > Periods/Styles > Arts & Crafts Movement"
69473,"Antiques > Periods/Styles > Modernist"
22608,"Antiques > Reproduction Antiques"
12,"Antiques > Other Antiques"
28009,"Art > Art Posters"
552,"Art > Art Drawings"
2211,"Art > Art Photographs"
360,"Art > Art Prints"
553,"Art > Art Sculptures"
357,"Art > Folk Art & Indigenous Art"
554,"Art > Mixed Media Art & Collage Art"
551,"Art > Paintings"
156196,"Art > Textile Art & Fiber Art"
20158,"Art > Other Art"
113814,"Baby > Baby Bathing/Grooming > Baby Baths"
96772,"Baby > Baby Bathing/Grooming > Baby Bath Seats & Supports"
100968,"Baby > Baby Bathing/Grooming > Baby Bath Sets"
96777,"Baby > Baby Bathing/Grooming > Bath Toys"
100969,"Baby > Baby Bathing/Grooming > Brushes, Combs & Scissors"
96776,"Baby > Baby Bathing/Grooming > Dressing Gowns"
20398,"Baby > Baby Bathing/Grooming > Skin Care"
96773,"Baby > Baby Bathing/Grooming > Soaps, Shampoos & Washes"
96774,"Baby > Baby Bathing/Grooming > Sponges"
45453,"Baby > Baby Bathing/Grooming > Towels/Flannels"
45454,"Baby > Baby Bathing/Grooming > Other Bathing"
112158,"Baby > Baby Books > Baby Names"
121471,"Baby > Baby Books > Baby Record Books"
53677,"Baby > Baby Books > Early Reading"
53678,"Baby > Baby Books > Parenting Books"
87168,"Baby > Baby Books > Pregnancy Books"
53679,"Baby > Baby Books > Other Baby Books"
100982,"Baby > Baby Carriers/Backpacks"
66674,"Baby > Baby Changing & Nappies > Changing Mats & Covers"
20424,"Baby > Baby Changing & Nappies > Changing Tables & Units"
26268,"Baby > Baby Changing & Nappies > Nappies"
15558,"Baby > Baby Changing & Nappies > Changing Bags"
26267,"Baby > Baby Changing & Nappies > Nappy Covers"
